"","countryfreq","categoryfreq","investmentaffinity","fundingaffinity","milestones","timeinmilestone","relationships","outcome"
"96",0.0140100160693948,0.0588951120957299,0,0,0,-1,2,0
"97",0.578092578435808,0.0588951120957299,0,0,0,-1,0,0
"98",0.0812050485982183,0.0588951120957299,0,0,0,-1,0,0
"99",0.578092578435808,0.0588951120957299,0,0,1,1766,5,0
"100",0.578092578435808,0.0588951120957299,0,0,0,-1,0,0
"101",0.578092578435808,0.0588951120957299,0,0,1,1461,8,0
"102",0.0126058941916158,0.0588951120957299,0,0,2,1461,12,0
"103",0.578092578435808,0.0588951120957299,0,0,1,61,3,0
"104",0.578092578435808,0.0588951120957299,0,0,1,0,4,0
"105",0.578092578435808,0.0588951120957299,0,9.1145578437106e-77,2,1652,9,1
"106",0.0078786838697599,0.0588951120957299,0,0,0,-1,1,0
"107",0.578092578435808,0.0588951120957299,0,0,0,-1,0,0
"108",0.00024962166716071,0.0588951120957299,0,0,0,-1,0,0
"109",0.578092578435808,0.0588951120957299,0,0,1,0,1,0
"110",0.578092578435808,0.0588951120957299,0,0,0,-1,2,0
"111",0.578092578435808,0.0588951120957299,0,0,1,2196,4,0
"112",0.0812050485982183,0.0588951120957299,0,0,0,-1,0,0
"113",0.0812050485982183,0.0588951120957299,0,0,2,2830,1,0
"114",0.578092578435808,0.0588951120957299,0,0,0,-1,1,0
"115",0.0140100160693948,0.0588951120957299,0,0,1,92,3,0
"116",0.578092578435808,0.0588951120957299,0,0,2,2235,2,1
"117",0.0104841100207498,0.0588951120957299,0,0,1,61,2,0
"118",0.0812050485982183,0.0588951120957299,0,0,0,-1,0,0
"119",0.578092578435808,0.0588951120957299,0,0,1,0,1,0
"120",0.0479117587406587,0.0588951120957299,0,0,0,-1,0,0
"121",0.578092578435808,0.0588951120957299,0,8.17799429113138e-75,0,-1,1,0
"122",0.578092578435808,0.0588951120957299,0,0,1,2191,5,0
"123",0.578092578435808,0.0588951120957299,0,0,1,0,1,0
"124",0.578092578435808,0.0588951120957299,0,4.94002072773872e-74,1,277,3,0
"125",0.578092578435808,0.0588951120957299,0,3.28932513329828e-188,0,-1,0,0
"126",0.578092578435808,0.0588951120957299,0,0,2,945,8,0
"127",0.0812050485982183,0.0588951120957299,0,0,1,0,2,0
"128",0.0812050485982183,0.0588951120957299,0,0,0,-1,0,0
"129",0.578092578435808,0.0588951120957299,0,0,3,1392,9,0
"130",0.578092578435808,0.0588951120957299,0,0,0,-1,0,1
"131",0.0812050485982183,0.0588951120957299,0,0,0,-1,3,0
"132",0.022153922960513,0.0588951120957299,0,0,1,517,3,0
"133",0.578092578435808,0.0588951120957299,0,0,2,2115,10,1
"134",0.578092578435808,0.0588951120957299,0,0,1,1492,2,0
"135",0.578092578435808,0.0588951120957299,0,0,2,4183,18,1
"136",0.578092578435808,0.0588951120957299,0,0,1,4717,7,0
"137",0.578092578435808,0.0588951120957299,0,0,4,1691,20,0
"138",0.578092578435808,0.0588951120957299,0,0,1,365,1,0
"139",0.578092578435808,0.0588951120957299,0,0,2,584,2,0
"140",0.578092578435808,0.0588951120957299,0,0,2,3955,4,0
"141",0.578092578435808,0.0588951120957299,0,0,1,1361,2,0
"142",0.0422952712295427,0.0588951120957299,0,0,1,120,0,0
"143",0.578092578435808,0.0588951120957299,0,0,1,1308,0,0
"144",0.578092578435808,0.0588951120957299,0,0,1,0,3,0
"145",0.578092578435808,0.0588951120957299,0,0,1,0,1,0
"146",0.0163034151364338,0.0588951120957299,0,0,1,14,1,0
"147",0.578092578435808,0.0588951120957299,0,0,0,-1,0,0
"148",0.578092578435808,0.0588951120957299,0,0,1,335,8,0
"149",0.0812050485982183,0.0588951120957299,0,0,0,-1,1,0
"150",0.578092578435808,0.0588951120957299,0,0,1,497,3,0
"151",0.578092578435808,0.0588951120957299,0,0,3,2133,3,0
"152",0.578092578435808,0.0588951120957299,0,0,0,-1,1,0
"153",0.578092578435808,0.0588951120957299,0,0,1,2668,4,1
"154",0.0479117587406587,0.0588951120957299,0,0,0,-1,0,0
"155",0.578092578435808,0.0588951120957299,0,0,1,723,6,0
"156",0.00513284553099209,0.0588951120957299,0,0,1,14246,2,0
"157",0.578092578435808,0.0588951120957299,0,0,0,-1,0,0
"158",0.00140412187777899,0.0588951120957299,0,0,1,0,1,0
"159",0.578092578435808,0.0588951120957299,0,0,0,-1,0,0
"160",0.578092578435808,0.0588951120957299,0,0,1,0,2,0
"161",0.578092578435808,0.0588951120957299,0,0,1,120,1,0
"162",0.578092578435808,0.0588951120957299,0,0,1,0,3,0
"163",0.00605332542864721,0.0588951120957299,0,0,1,366,1,0
"164",0.0078786838697599,0.0588951120957299,0,0,0,-1,1,0
"165",0.578092578435808,0.0588951120957299,0,0,0,-1,0,0
"166",0.578092578435808,0.0588951120957299,0,0,0,-1,0,0
"167",0.0812050485982183,0.0588951120957299,0,0,1,2465,2,0
"168",0.578092578435808,0.0588951120957299,0,0,0,-1,0,0
"169",0.578092578435808,0.0588951120957299,0,0,5,1341,29,0
"170",0.578092578435808,0.0588951120957299,0,0,1,3255,4,0
"171",0.0104841100207498,0.0588951120957299,0,0,1,0,2,1
"172",0.578092578435808,0.0588951120957299,0,7.12582041370468e-16,2,232,8,0
"173",0.578092578435808,0.0588951120957299,0,0,3,4352,26,0
